user_id,pse_id
1,381
2,298
3,31
4,971
5,820
6,214
7,735
8,272
9,782
10,20
11,621
12,359
13,538
14,773
15,337
16,340
17,549
18,896
19,58
20,521
21,886
22,758
23,262
24,607
25,309
26,114
27,985
28,824
29,560
30,343
31,441
32,803
33,906
34,675
35,407
36,7
37,242
38,990
39,821
40,583
41,474
42,146
43,864
44,351
45,166
46,506
47,868
48,348
49,96
50,41
51,813
52,307
53,661
54,644
55,85
56,679
57,484
58,894
59,666
60,261
61,562
62,646
63,617
64,590
65,169
66,875
67,95
68,147
69,421
70,30
71,11
72,18
73,532
74,119
75,124
76,554
77,148
78,314
79,463
80,788
81,498
82,609
83,80
84,507
85,87
86,8
87,901
88,643
89,724
90,171
91,442
92,846
93,321
94,178
95,459
96,14
97,945
98,667
99,907
100,531
101,692
102,220
103,244
104,468
105,954
106,144
107,290
108,685
109,167
110,527
111,237
112,339
113,102
114,39
115,224
116,472
117,873
118,848
119,924
120,823
121,451
122,750
123,880
124,701
125,455
126,877
127,690
128,450
129,923
130,905
131,634
132,104
133,81
134,250
135,563
136,955
137,601
138,858
139,953
140,698
141,766
142,916
143,128
144,43
145,406
146,297
147,55
148,879
149,915
150,592
151,982
152,101
153,885
154,187
155,182
156,962
157,395
158,523
159,212
160,394
161,522
162,921
163,22
164,53
165,801
166,755
167,556
168,987
169,769
170,236
171,52
172,547
173,279
174,891
175,482
176,437
177,797
178,193
179,35
180,274
181,362
182,83
183,623
184,319
185,977
186,489
187,807
188,292
189,454
190,729
191,268
192,751
193,370
194,889
195,184
196,893
197,660
198,935
199,540
200,423
201,721
202,863
203,655
204,627
205,100
206,604
207,315
208,833
209,411
210,500
211,712
212,869
213,763
214,78
215,417
216,54
217,378
218,827
219,123
220,73
221,845
222,263
223,317
224,205
225,501
226,716
227,460
228,196
229,496
230,800
231,48
232,301
233,3
234,141
235,616
236,200
237,814
238,561
239,238
240,199
241,264
242,550
243,357
244,355
245,260
246,745
247,841
248,155
249,37
250,931
251,170
252,715
253,313
254,94
255,933
256,695
257,90
258,798
259,243
260,432
261,384
262,979
263,89
264,706
265,998
266,741
267,185
268,836
269,424
270,793
271,135
272,536
273,312
274,637
275,844
276,191
277,325
278,974
279,926
280,714
281,151
282,756
283,149
284,603
285,164
286,799
287,352
288,600
289,918
290,226
291,595
292,470
293,983
294,285
295,447
296,461
297,410
298,134
299,699
300,246
301,120
302,376
303,739
304,718
305,781
306,919
307,657
308,765
309,578
310,794
311,409
312,342
313,516
314,641
315,975
316,586
317,143
318,79
319,681
320,559
321,299
322,684
323,93
324,206
325,819
326,358
327,539
328,180
329,353
330,817
331,518
332,591
333,106
334,837
335,612
336,619
337,388
338,710
339,847
340,360
341,107
342,503
343,265
344,430
345,211
346,15
347,957
348,190
349,849
350,456
351,545
352,416
353,77
354,229
355,770
356,133
357,175
358,145
359,481
360,703
361,804
362,88
363,161
364,881
365,427
366,25
367,573
368,689
369,402
370,255
371,201
372,333
373,936
374,598
375,512
376,734
377,784
378,787
379,97
380,286
381,449
382,722
383,697
384,322
385,570
386,949
387,318
388,968
389,495
390,33
391,855
392,390
393,852
394,544
395,377
396,840
397,508
398,651
399,913
400,917
401,914
402,326
403,842
404,403
405,98
406,473
407,740
408,428
409,870
410,812
411,965
412,32
413,704
414,391
415,514
416,129
417,419
418,892
419,398
420,853
421,291
422,633
423,638
424,843
425,72
426,529
427,850
428,413
429,412
430,223
431,857
432,565
433,204
434,665
435,981
436,867
437,830
438,239
439,38
440,645
441,448
442,548
443,969
444,620
445,136
446,59
447,305
448,139
449,625
450,63
451,888
452,569
453,157
454,76
455,629
456,257
457,673
458,111
459,324
460,256
461,436
462,113
463,6
464,806
465,628
466,555
467,195
468,289
469,832
470,364
471,329
472,815
473,860
474,17
475,808
476,404
477,287
478,736
479,509
480,818
481,688
482,320
483,110
484,602
485,624
486,686
487,418
488,711
489,306
490,653
491,82
492,162
493,757
494,68
495,576
496,74
497,380
498,902
499,483
500,494
501,737
502,553
