user_id,pse_id
1,749
2,661
3,319
4,270
5,102
6,726
7,987
8,18
9,372
10,48
11,936
12,790
13,299
14,43
15,339
16,129
17,286
18,601
19,100
20,627
21,485
22,416
23,358
24,530
25,934
26,883
27,71
28,846
29,693
30,198
31,783
32,422
33,781
34,636
35,890
36,503
37,653
38,759
39,591
40,822
41,897
42,125
43,992
44,256
45,527
46,434
47,172
48,651
49,30
50,131
51,112
52,2
53,426
54,979
55,268
56,481
57,492
58,206
59,120
60,368
61,21
62,764
63,971
64,192
65,613
66,159
67,105
68,234
69,110
70,536
71,430
72,677
73,978
74,592
75,41
76,933
77,166
78,866
79,720
80,948
81,115
82,560
83,86
84,827
85,209
86,219
87,908
88,322
89,999
90,789
91,817
92,678
93,619
94,310
95,748
96,337
97,930
98,207
99,736
100,569
101,799
102,382
103,550
104,540
105,561
106,474
107,241
108,526
109,227
110,658
111,622
112,520
113,702
114,457
115,828
116,734
117,652
118,486
119,927
120,385
121,142
122,150
123,860
124,947
125,11
126,514
127,685
128,788
129,95
130,838
131,467
132,287
133,802
134,507
135,606
136,671
137,488
138,370
139,675
140,556
141,38
142,49
143,793
144,937
145,367
146,91
147,874
148,807
149,389
150,660
151,390
152,267
153,926
154,596
155,139
156,478
157,446
158,55
159,391
160,811
161,946
162,570
163,437
164,885
165,991
166,24
167,398
168,121
169,496
170,741
171,990
172,981
173,171
174,89
175,315
176,168
177,626
178,438
179,31
180,169
181,480
182,618
183,167
184,60
185,88
186,607
187,77
188,140
189,417
190,356
191,236
192,555
193,780
194,771
195,127
196,384
197,778
198,254
199,795
200,353
201,620
202,756
203,699
204,152
205,657
206,584
207,366
208,917
209,784
210,141
211,732
212,994
213,195
214,456
215,849
216,692
217,109
218,212
219,312
220,255
221,960
222,765
223,717
224,582
225,328
226,345
227,32
228,193
229,723
230,515
231,379
232,703
233,343
234,728
235,842
236,477
237,1
238,568
239,404
240,397
241,302
242,210
243,645
244,10
245,820
246,346
247,551
248,332
249,134
250,327
251,9
252,500
253,751
254,408
255,962
256,648
257,111
258,39
259,279
260,237
261,442
262,513
263,976
264,215
265,665
266,348
267,907
268,545
269,761
270,449
271,158
272,504
273,113
274,66
275,604
276,201
277,451
278,517
279,176
280,4
281,973
282,727
283,873
284,964
285,862
286,965
287,928
288,248
289,393
290,633
291,292
292,260
293,603
294,94
295,539
296,868
297,119
298,654
299,175
300,801
301,942
302,363
303,650
304,317
305,447
306,557
307,712
308,22
309,538
310,667
311,313
312,257
313,634
314,242
315,466
316,59
317,410
318,958
319,525
320,544
321,856
322,798
323,303
324,821
325,993
326,697
327,52
328,359
329,423
330,62
331,247
332,640
