pse_id,user_id
1,95
2,381
3,574
4,859
5,25
6,477
7,288
8,754
9,741
10,892
11,708
12,445
13,765
14,820
15,34
16,410
17,849
18,636
19,740
20,459
21,926
22,126
23,627
24,475
25,912
26,236
27,793
28,183
29,86
30,591
31,877
32,476
33,133
34,202
35,234
36,467
37,495
38,906
39,969
40,143
41,215
42,768
43,514
44,643
45,579
46,224
47,688
48,598
49,717
50,220
51,707
52,284
53,106
54,891
55,955
56,36
57,435
58,426
59,600
60,41
61,836
62,646
63,230
64,489
65,290
66,885
67,822
68,127
69,639
70,451
71,400
72,807
73,843
74,280
75,131
76,795
77,69
78,207
79,340
80,57
81,737
82,30
83,537
84,683
85,805
86,13
87,490
88,649
89,890
90,186
91,55
92,846
93,213
94,466
95,105
96,911
97,583
98,346
99,414
100,522
101,586
102,694
103,887
104,866
105,876
106,109
107,607
108,108
109,366
110,654
111,267
112,332
113,864
114,857
115,115
116,380
117,226
118,308
119,43
120,780
121,10
122,932
123,641
124,3
125,392
126,909
127,384
128,206
129,336
130,752
131,273
132,415
133,263
134,49
135,936
136,745
137,562
138,397
139,938
140,420
141,441
142,516
143,9
144,1000
145,324
146,171
147,905
148,608
149,149
150,208
151,87
152,662
153,356
154,119
155,685
156,638
157,147
158,515
159,272
160,169
161,510
162,463
163,474
164,543
165,292
166,893
167,237
168,811
169,266
170,373
171,98
172,153
173,337
174,567
175,481
176,148
177,910
178,709
179,479
180,279
181,879
182,255
183,401
184,382
185,684
186,900
187,791
188,536
189,485
190,572
191,342
192,413
193,767
194,83
195,971
196,364
197,824
198,692
199,418
200,869
201,157
202,409
203,949
204,868
205,248
206,808
207,538
208,658
209,835
210,746
211,243
212,137
213,212
214,209
215,933
216,789
217,167
218,587
219,858
220,513
221,841
222,138
223,318
224,700
225,818
226,411
227,314
228,432
229,521
230,181
231,809
232,961
233,635
234,367
235,629
236,833
237,548
238,257
239,760
240,339
241,715
242,265
243,817
244,941
245,853
246,261
247,100
248,492
249,705
250,92
251,657
252,365
253,848
254,616
255,458
256,1
257,388
258,39
259,578
260,669
261,176
262,440
263,173
264,604
265,747
266,928
267,50
268,239
269,916
270,303
271,988
272,112
273,561
274,245
275,821
276,968
277,472
278,249
279,854
280,396
281,320
282,179
283,540
284,155
285,558
286,625
287,563
288,796
289,943
290,434
291,545
292,82
293,935
294,60
295,934
296,613
297,304
298,425
299,952
300,595
301,427
302,390
303,276
304,681
305,192
306,678
307,383
308,17
309,305
310,677
311,423
312,972
313,506
314,724
315,802
316,454
317,442
318,903
319,134
320,865
321,663
322,982
323,850
324,590
325,917
326,535
327,923
328,132
329,199
330,297
331,386
332,352
333,922
334,278
335,287
336,967
337,738
338,814
339,104
340,976
341,240
342,956
343,406
344,668
345,619
346,620
347,532
348,285
349,520
350,803
351,983
352,393
353,461
354,924
355,552
356,484
357,175
358,162
359,693
360,229
361,222
362,437
363,67
364,744
365,28
366,642
367,526
368,679
369,541
370,512
371,842
372,331
373,4
374,726
375,896
376,939
377,378
378,205
379,529
380,785
381,345
382,542
383,528
384,763
385,262
386,989
387,177
388,566
389,496
390,193
391,970
392,851
393,507
394,547
395,898
396,391
397,626
398,711
399,277
400,953
401,159
402,217
403,85
404,676
405,856
406,231
407,665
408,455
409,350
410,2
411,349
412,227
413,750
414,546
415,788
416,21
417,784
418,995
419,372
420,374
421,871
422,282
423,416
424,945
425,15
426,11
427,203
428,880
429,210
430,44
431,778
432,882
433,556
434,975
435,46
436,862
437,142
438,329
439,731
440,198
441,509
442,191
443,309
444,723
445,544
446,313
447,354
448,16
449,166
450,659
451,47
452,491
453,370
454,839
455,187
456,72
457,523
458,751
459,980
460,951
461,122
462,73
463,914
464,823
465,188
466,197
467,782
468,478
469,847
470,291
471,710
472,200
473,362
474,505
475,260
476,632
477,721
478,152
479,219
480,534
481,622
482,317
483,468
484,360
485,326
486,698
487,405
488,244
489,233
490,321
491,151
492,93
493,81
494,32
495,645
496,550
497,812
498,940
499,918
500,585
501,979
502,761
503,395
504,670
505,394
506,725
507,252
508,743
509,986
510,960
511,66
512,379
513,672
514,156
515,33
516,603
517,351
518,504
519,37
520,298
521,377
522,78
523,524
524,498
525,618
526,759
527,5
528,581
529,146
530,117
531,316
532,777
533,689
534,978
535,102
536,274
537,704
538,293
539,269
540,223
541,577
542,422
543,774
544,51
545,150
546,465
547,860
548,429
549,74
550,141
551,993
552,929
553,573
554,121
555,250
556,867
557,180
558,344
559,189
560,499
561,719
562,306
563,424
564,901
565,201
566,792
567,111
568,764
569,123
570,99
571,118
572,402
573,588
574,907
575,690
576,872
577,256
578,675
579,482
580,985
581,769
582,165
583,130
584,94
585,238
586,852
587,977
588,699
589,311
590,447
591,930
592,806
593,661
594,881
595,798
596,762
597,184
598,748
599,758
600,174
601,592
602,8
603,368
604,448
605,299
606,64
607,551
608,359
609,417
610,771
611,270
612,948
613,614
614,500
615,246
616,599
617,801
618,70
619,660
620,355
621,611
622,68
623,129
624,259
625,601
626,254
627,88
628,452
629,631
630,580
631,453
632,376
633,996
634,96
635,527
636,873
637,686
638,553
639,691
640,501
641,712
642,216
643,673
644,837
645,7
646,480
647,888
648,565
649,407
650,671
651,878
652,895
653,144
654,790
655,101
656,987
657,464
658,560
659,575
660,804
661,214
662,103
663,135
664,800
665,446
666,185
667,533
668,597
669,120
670,927
671,338
672,559
673,487
674,22
675,79
676,950
677,633
678,830
679,571
680,609
681,966
682,242
683,913
684,232
685,845
686,375
687,624
688,77
689,403
690,357
691,787
692,194
693,343
694,431
695,729
696,816
697,124
698,251
699,855
700,875
701,29
702,874
703,168
704,870
705,358
706,14
707,962
708,713
709,438
710,605
711,733
712,883
713,247
714,667
715,794
716,196
717,488
718,897
719,65
720,315
721,48
722,460
723,18
724,539
725,998
726,462
727,253
728,363
729,569
730,727
731,296
732,628
733,584
734,170
735,525
736,371
737,517
738,732
739,519
740,615
741,647
742,281
743,994
744,511
745,838
746,797
747,61
748,783
749,634
750,716
751,327
752,904
753,666
754,110
755,27
756,443
757,720
758,307
759,742
760,136
761,91
762,450
763,931
764,919
765,944
766,470
767,218
768,35
769,728
770,348
771,493
772,680
773,894
774,38
775,444
776,436
777,158
778,353
779,469
780,58
781,289
782,45
783,984
784,730
785,531
786,925
787,59
788,283
789,204
790,6
791,335
792,295
793,770
794,404
795,908
796,735
797,734
798,300
799,602
800,449
801,221
802,589
803,957
804,225
805,31
806,113
807,772
808,722
809,80
810,594
811,497
812,241
813,840
814,954
815,107
816,125
817,997
818,52
819,164
820,75
821,630
822,319
823,330
824,653
825,779
826,703
827,596
828,53
829,163
830,902
831,963
832,570
833,54
834,301
835,844
836,182
837,612
838,650
839,63
840,23
841,312
842,756
843,947
844,582
845,385
846,863
847,974
848,714
849,268
850,651
851,333
852,389
853,62
854,114
855,399
856,655
857,302
858,178
859,530
860,652
861,430
862,456
863,827
864,773
865,964
866,973
867,20
868,258
869,71
870,889
871,334
872,483
873,211
874,828
875,271
876,564
877,831
878,421
879,310
880,116
881,387
882,640
883,899
884,97
885,695
886,145
887,369
888,749
889,701
890,819
891,555
892,786
893,992
894,981
895,753
896,991
897,834
898,361
899,736
900,190
901,195
902,503
903,965
904,172
905,776
906,264
907,433
908,457
909,656
910,24
911,508
912,813
913,160
914,140
915,755
916,593
917,42
918,84
919,325
920,606
921,12
922,90
923,999
924,398
925,886
926,861
927,56
928,832
929,617
930,959
931,766
932,915
933,637
934,557
935,674
936,958
937,621
938,40
939,687
940,19
941,518
942,781
943,921
944,825
945,408
946,799
947,697
948,294
949,810
950,576
951,920
952,412
953,739
954,275
955,494
956,942
957,128
958,664
959,347
960,76
961,623
962,826
963,428
964,549
965,884
966,937
967,89
968,644
969,502
970,139
971,718
972,702
973,829
974,341
975,328
976,486
977,26
978,235
979,322
980,473
981,228
982,471
983,554
984,161
985,706
986,419
987,757
988,286
989,696
990,946
991,323
992,610
993,154
994,990
995,815
996,648
997,439
998,775
999,568
1000,682
