pse_id,time,reg_id
1,2013/10/13 10:30:05,974
1,2013/10/13 11:50:05,777
1,2013/10/13 12:20:07,739
1,2013/12/16 10:30:01,480
1,2013/12/16 11:00:01,410
1,2013/12/16 11:30:01,342
1,2013/12/16 12:00:01,209
1,2013/12/16 13:55:01,110
1,2013/12/16 14:25:01,143
1,2013/12/16 14:55:01,176
1,2013/12/16 15:25:01,209
1,2013/12/16 15:55:01,243
1,2013/12/16 16:25:01,276
1,2013/12/16 16:55:01,277
1,2013/12/16 17:25:01,342
1,2013/12/16 17:55:01,374
1,2013/12/16 18:25:01,376
1,2013/12/16 18:55:01,409
1,2013/12/16 19:25:01,410
1,2013/12/16 19:55:01,444
1,2013/12/16 20:25:01,477
1,2013/12/16 20:55:01,478
1,2013/12/16 21:25:01,480
1,2013/12/22 10:35:54,2
1,2013/12/22 11:25:56,66
1,2013/12/22 12:00:11,66
1,2013/12/22 12:30:25,66
1,2013/12/22 13:00:39,66
1,2013/12/22 13:30:53,98
1,2013/12/22 14:05:22,67
1,2013/12/22 15:55:37,69
1,2013/12/22 16:25:44,135
1,2013/12/22 16:55:51,232
1,2013/12/22 17:25:58,295
1,2013/12/22 18:00:07,390
2,2013/10/07 12:45:21,143
2,2013/10/07 13:15:25,173
2,2013/10/07 13:45:29,236
2,2013/10/07 14:15:33,331
2,2013/10/07 14:45:36,396
2,2013/10/07 15:15:40,493
2,2013/10/07 15:45:44,589
2,2013/10/07 16:15:48,619
2,2013/10/07 16:50:11,456
2,2013/10/07 18:00:15,421
2,2013/10/07 18:30:15,385
2,2013/12/16 09:25:24,99
2,2013/12/16 13:35:24,5
2,2013/12/22 00:00:00,553
2,2013/12/22 08:40:43,505
2,2013/12/22 09:40:43,505
2,2013/12/22 10:10:43,504
2,2013/12/22 10:40:43,504
2,2013/12/22 11:10:43,535
2,2013/12/22 11:40:43,534
2,2013/12/22 12:10:43,534
2,2013/12/22 12:40:43,533
2,2013/12/22 13:10:43,532
2,2013/12/22 13:40:43,531
2,2013/12/22 14:10:43,563
2,2013/12/22 14:40:43,530
2,2013/12/22 15:10:43,529
2,2013/12/22 15:40:43,560
2,2013/12/22 16:10:43,528
2,2013/12/22 16:40:43,559
2,2013/12/22 17:10:43,558
2,2013/12/22 17:40:43,558
2,2013/12/22 18:10:43,557
2,2013/12/22 18:40:43,556
2,2013/12/22 19:10:43,555
3,2013/07/07 17:10:08,409
